Client Name,IPO Name,Unified Code,Eligible Quantity,Subscribed Quantity,Settlement Date
Ahmed Hassan,ADIB,100012345,5000,5000,16-05-2026
Sarah Connor,ADIB,100012346,2500,1000,16-05-2026
John Doe,ADIB,100012347,10000,10000,16-05-2026
Mona Zaki,ADIB,100012348,1500,1500,16-05-2026
Karim Ali,ADIB,100012349,8000,4000,16-05-2026
Omar Farouk,ADIB,100012350,3000,3000,16-05-2026
Jane Smith,ADIB,100012351,12000,8500,16-05-2026
Tarek Mostafa,ADIB,100012352,500,500,16-05-2026
Laila Ibrahim,ADIB,100012353,4500,4500,16-05-2026
Youssef Kamal,ADIB,100012354,6000,2000,16-05-2026
